size,trial,adds,muls,time_seconds
481,7,116344,0,0.00371725
481,8,116344,0,0.004585084
481,9,116344,0,0.00428975
481,10,116344,0,0.004421334
491,1,121475,0,0.005014542
491,2,121475,0,0.004710417
491,3,121475,0,0.004247875
491,4,121475,0,0.004541167
491,5,121475,0,0.012311042
491,6,121475,0,0.004483709
491,7,121475,0,0.005026667
491,8,121475,0,0.004006791
491,9,121475,0,0.005695792
491,10,121475,0,0.005155375
501,1,126306,0,0.004091833
501,2,126306,0,0.004951667
501,3,126306,0,0.005828208
501,4,126306,0,0.007132917
501,5,126306,0,0.005040375
501,6,126306,0,0.004100791
501,7,126306,0,0.004243916
501,8,126306,0,0.005886792
501,9,126306,0,0.004709334
501,10,126306,0,0.0046695
511,1,130815,0,0.076753084
511,2,130815,0,0.00426325
511,3,130815,0,0.004876541
511,4,130815,0,0.005227834
511,5,130815,0,0.004489417
511,6,130815,0,0.004248125
511,7,130815,0,0.009632083
511,8,130815,0,0.005063625
511,9,130815,0,0.006009792
511,10,130815,0,0.004983083
521,1,136473,0,0.006609625
521,2,136473,0,0.006974791
521,3,136473,0,0.005838542
521,4,136473,0,0.005780416
521,5,136473,0,0.005421792
521,6,136473,0,0.005589125
521,7,136473,0,0.006091166
521,8,136473,0,0.082850958
521,9,136473,0,0.004940666
521,10,136473,0,0.005264042
531,1,141999,0,0.005791334
531,2,141999,0,0.005187625
531,3,141999,0,0.006662542
531,4,141999,0,0.004802958
531,5,141999,0,0.005139959
531,6,141999,0,0.006316917
531,7,141999,0,0.005607333
531,8,141999,0,0.006048584
531,9,141999,0,0.005807875
531,10,141999,0,0.00530525
541,1,147385,0,0.005594208
541,2,147385,0,0.005949625
541,3,147385,0,0.005567584
541,4,147385,0,0.074757209
541,5,147385,0,0.005484792
541,6,147385,0,0.005255041
541,7,147385,0,0.00558825
541,8,147385,0,0.004894042
541,9,147385,0,0.006297709
541,10,147385,0,0.004858458
551,1,152994,0,0.006456833
551,2,152994,0,0.005849292
551,3,152994,0,0.008716291
551,4,152994,0,0.006208375
551,5,152994,0,0.005293208
551,6,152994,0,0.005657583
551,7,152994,0,0.0053745
551,8,152994,0,0.005786917
551,9,152994,0,0.077557459
551,10,152994,0,0.005700708
561,1,158504,0,0.005571834
561,2,158504,0,0.00592875
561,3,158504,0,0.005562208
561,4,158504,0,0.006582625
561,5,158504,0,0.005181084
561,6,158504,0,0.006523083
561,7,158504,0,0.005311791
561,8,158504,0,0.006231625
561,9,158504,0,0.005926792
561,10,158504,0,0.005922167
571,1,164285,0,0.006210417
571,2,164285,0,0.006302208
571,3,164285,0,0.012156833
571,4,164285,0,0.070670458
571,5,164285,0,0.006337333
571,6,164285,0,0.006160583
571,7,164285,0,0.005436625
571,8,164285,0,0.006430666
571,9,164285,0,0.005303708
571,10,164285,0,0.00674375
581,1,170116,0,0.007724666
581,2,170116,0,0.007309459
581,3,170116,0,0.006360958
581,4,170116,0,0.0059835
581,5,170116,0,0.006201625
581,6,170116,0,0.0059205
581,7,170116,0,0.075685625
581,8,170116,0,0.006061
581,9,170116,0,0.00615175
581,10,170116,0,0.005818709
591,1,175975,0,0.007408458
591,2,175975,0,0.007245458
591,3,175975,0,0.007397792
591,4,175975,0,0.006554084
591,5,175975,0,0.006908791
591,6,175975,0,0.006224708
591,7,175975,0,0.006034875
591,8,175975,0,0.006285708
591,9,175975,0,0.006115167
591,10,175975,0,0.069419
601,1,182117,0,0.0066805
601,2,182117,0,0.006758041
601,3,182117,0,0.006200791
601,4,182117,0,0.007535166
601,5,182117,0,0.00605025
601,6,182117,0,0.006889833
601,7,182117,0,0.006081458
601,8,182117,0,0.006151459
601,9,182117,0,0.006533541
601,10,182117,0,0.006348375
611,1,188152,0,0.006837375
611,2,188152,0,0.075964833
611,3,188152,0,0.006861875
611,4,188152,0,0.006397958
611,5,188152,0,0.007311958
611,6,188152,0,0.006212959
611,7,188152,0,0.007084041
611,8,188152,0,0.006265292
611,9,188152,0,0.007195
611,10,188152,0,0.006159625
621,1,194418,0,0.006654375
621,2,194418,0,0.00742175
621,3,194418,0,0.007166792
621,4,194418,0,0.007054667
621,5,194418,0,0.076072875
621,6,194418,0,0.006522791
621,7,194418,0,0.007332917
621,8,194418,0,0.006453708
621,9,194418,0,0.007743334
621,10,194418,0,0.006340584
631,1,200508,0,0.007150541
631,2,200508,0,0.00856525
631,3,200508,0,0.006973083
631,4,200508,0,0.007931542
631,5,200508,0,0.007471
631,6,200508,0,0.0071045
631,7,200508,0,0.007375875
631,8,200508,0,0.069932458
631,9,200508,0,0.00727675
631,10,200508,0,0.006712834
641,1,206401,0,0.00719225
641,2,206401,0,0.008789875
641,3,206401,0,0.007295
641,4,206401,0,0.008365166
641,5,206401,0,0.007905917
641,6,206401,0,0.00752425
641,7,206401,0,0.007709125
641,8,206401,0,0.007698542
641,9,206401,0,0.080323042
641,10,206401,0,0.007515875
651,1,213562,0,0.007158
651,2,213562,0,0.008153208
651,3,213562,0,0.0098235
651,4,213562,0,0.007174083
651,5,213562,0,0.008351209
651,6,213562,0,0.007798417
651,7,213562,0,0.007968833
651,8,213562,0,0.008699292
651,9,213562,0,0.009177375
651,10,213562,0,0.013709625
661,1,220293,0,0.082906125
661,2,220293,0,0.008478042
661,3,220293,0,0.007961042
661,4,220293,0,0.008714458
661,5,220293,0,0.008180041
661,6,220293,0,0.007305375
661,7,220293,0,0.008013541
661,8,220293,0,0.007801667
661,9,220293,0,0.007611667
661,10,220293,0,0.008070625
671,1,226572,0,0.01364175
671,2,226572,0,0.071249208
671,3,226572,0,0.007956708
671,4,226572,0,0.00853475
671,5,226572,0,0.007274792
671,6,226572,0,0.010128625
671,7,226572,0,0.008668958
671,8,226572,0,0.00766775
671,9,226572,0,0.007917334
671,10,226572,0,0.007597833
